decision_id,university_name,official_homepage_url,recruitment_page_url,decision,review_notes,reviewed_by,reviewed_at_utc
U2N1b2xhIE5vcm1hbGUgU3VwZXJpb3JlfHxodHRwczovL3d3dy5zbnMuaXQvfHxodHRwczovL3d3dy5zbnMuaXQvaXQvYmFuZGktZS1jb25jb3JzaQ,Scuola Normale Superiore,https://www.sns.it/,https://www.sns.it/it/bandi-e-concorsi,accepted,,,2026-05-17T15:06:43.879Z
U2N1b2xhIFN1cGVyaW9yZSBTYW50J0FubmF8fGh0dHBzOi8vd3d3LnNhbnRhbm5hcGlzYS5pdC98fA,Scuola Superiore Sant'Anna,https://www.santannapisa.it/,,accepted,,,2026-05-17T15:06:43.879Z
U0lTU0EgVHJpZXN0ZXx8aHR0cHM6Ly93d3cuc2lzc2EuaXQvfHw,SISSA Trieste,https://www.sissa.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgQ2EnIEZvc2NhcmkgVmVuZXppYXx8aHR0cHM6Ly93d3cudW5pdmUuaXQvfHxodHRwczovL3d3dy51bml2ZS5pdC9wYWcvMTM1MjYv,Università Ca' Foscari Venezia,https://www.unive.it/,https://www.unive.it/pag/13526/,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgQ2FtcHVzIEJpby1NZWRpY28gZGkgUm9tYXx8aHR0cHM6Ly93d3cudW5pY2FtcHVzLml0L3x8,Università Campus Bio-Medico di Roma,https://www.unicampus.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgQ2F0dG9saWNhIGRlbCBTYWNybyBDdW9yZXx8aHR0cHM6Ly93d3cudW5pY2F0dC5pdC98fA,Università Cattolica del Sacro Cuore,https://www.unicatt.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgQ29tbWVyY2lhbGUgTHVpZ2kgQm9jY29uaXx8aHR0cHM6Ly93d3cudW5pYm9jY29uaS5pdC98fGh0dHBzOi8vd3d3LnVuaWJvY2NvbmkuaXQvaXQvZG9jZW50aS1lLXJpY2VyY2EvZG9jZW50aS9yZWNsdXRhbWVudG8tZG9jZW50aS9jb25jb3JzaQ,Università Commerciale Luigi Bocconi,https://www.unibocconi.it/,https://www.unibocconi.it/it/docenti-e-ricerca/docenti/reclutamento-docenti/concorsi,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGVsIE1vbGlzZXx8aHR0cHM6Ly93d3cudW5pbW9sLml0L3x8,Università degli Studi del Molise,https://www.unimol.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGVsIFNhbm5pb3x8aHR0cHM6Ly93d3cudW5pc2FubmlvLml0L3x8,Università degli Studi del Sannio,https://www.unisannio.it/,,accepted,,,2026-05-17T15:06:43.879Z
VW5pdmVyc2l0w6AgZGVnbGkgU3R1ZGkgZGVsbCdBcXVpbGF8fGh0dHBzOi8vd3d3LnVuaXZhcS5pdC98fGh0dHBzOi8vd3d3LnVuaXZhcS5pdC9zZWN0aW9uLnBocD9pZD0xNTM1,Università degli Studi dell'Aquila,https://www.univaq.it/,https://www.univaq.it/section.php?id=1535,accepted,,,2026-05-17T15:06:43.879Z
